SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
2, 0.0000, 0, -0.9473, 0.4139, -0.1170, -9.9725, -4.0666, -25.2268, -37.4627, 40.8955, 18.3333, -73.3876, -69.0467, 78.8437, -0.7254, -0.0917, -0.6637, 0.1579, -0.0134, 0.0712, -0.0148, 1003.5400, 0.0000, 0.0000, 0.0000
2, 0.0100, 1, -0.9532, 0.4198, -0.1231, -5.3480, -4.1464, -24.8930, -37.0149, 42.2388, 18.3333, -73.3792, -69.2719, 78.7791, -0.7254, -0.0907, -0.6642, 0.1562, -0.0180, 0.0807, -0.0218, 1003.5400, 0.0000, 0.0000, 0.0000
2, 0.0198, 2, -0.9455, 0.4375, -0.1186, 0.1065, -4.2295, -23.8959, -40.7463, 41.9403, 18.6667, -73.3530, -69.4843, 78.7598, -0.7254, -0.0894, -0.6647, 0.1550, -0.0089, 0.1017, -0.0182, 1003.5400, 0.0000, 0.0000, 0.0000
2, 0.0298, 3, -0.9416, 0.4433, -0.1105, 4.3139, -5.4522, -22.9093, -38.0597, 40.1493, 18.5000, -73.3070, -69.6901, 78.7731, -0.7253, -0.0878, -0.6652, 0.1542, -0.0038, 0.1109, -0.0108, 1003.5400, 0.0000, 0.0000, 0.0000
1, 0.0000, 0, 0.0589, 0.9809, 0.3133, -4.1667, -8.9460, 2.5757, 57.1642, 38.6567, -9.5000, -109.6575, 1.8866, 79.6913, 0.4336, 0.6336, 0.5164, -0.3794, 0.0259, 0.0397, -0.0229, 1005.4000, 0.0000, 0.0000, 0.0000
2, 0.0398, 4, -0.9454, 0.4276, -0.1128, 10.3096, -6.1831, -20.2994, -35.3731, 40.2985, 18.5000, -73.2240, -69.8746, 78.8097, -0.7253, -0.0860, -0.6655, 0.1538, -0.0065, 0.0982, -0.0135, 1003.5400, 0.0000, 0.0000, 0.0000
2, 0.0498, 5, -0.9395, 0.4257, -0.1087, 15.2688, -6.5522, -18.8416, -39.2537, 40.4478, 18.6667, -73.1244, -70.0479, 78.8803, -0.7252, -0.0839, -0.6659, 0.1538, 0.0005, 0.0991, -0.0097, 1003.5400, 0.0000, 0.0000, 0.0000
2, 0.0598, 6, -0.9394, 0.4198, -0.1088, 19.7226, -6.9229, -16.5677, -37.3134, 41.0448, 18.6667, -72.9964, -70.2073, 78.9660, -0.7251, -0.0816, -0.6662, 0.1542, 0.0015, 0.0960, -0.0098, 1003.5400, 0.0000, 0.0000, 0.0000
1, 0.0100, 1, 0.0511, 0.9752, 0.2909, -3.1034, -8.3548, 1.1111, 54.6269, 40.0000, -9.6667, -109.6569, 1.9501, 79.7381, 0.4331, 0.6336, 0.5164, -0.3799, 0.0171, 0.0340, -0.0453, 1005.4000, 0.0000, 0.0000, 0.0000
1, 0.0200, 2, 0.0550, 0.9694, 0.2868, -2.3438, -7.4235, 0.8435, 54.1791, 39.8507, -9.3333, -109.6356, 2.0012, 79.7752, 0.4329, 0.6335, 0.5163, -0.3804, 0.0201, 0.0281, -0.0490, 1005.4000, 0.0000, 0.0000, 0.0000
1, 0.0300, 3, 0.0491, 0.9518, 0.2926, -2.7077, -6.0113, 1.3448, 57.1642, 38.0597, -9.6667, -109.6192, 2.0447, 79.7963, 0.4327, 0.6335, 0.5162, -0.3808, 0.0135, 0.0104, -0.0429, 1005.4000, 0.0000, 0.0000, 0.0000
2, 0.0698, 7, -0.9354, 0.4139, -0.1128, 22.1622, -7.6446, -15.1554, -37.1642, 40.0000, 18.3333, -72.8542, -70.3546, 79.0631, -0.7250, -0.0793, -0.6665, 0.1548, 0.0064, 0.0927, -0.0137, 1003.5400, 0.0000, 0.0000, 0.0000
2, 0.0798, 8, -0.9550, 0.4002, -0.1175, 23.1185, -8.0795, -13.3803, -37.1642, 42.2388, 18.3333, -72.7222, -70.4908, 79.1817, -0.7249, -0.0770, -0.6667, 0.1555, -0.0125, 0.0813, -0.0183, 1003.5400, 0.0000, 0.0000, 0.0000
2, 0.0898, 9, -0.9489, 0.3905, -0.1353, 24.2830, -7.7286, -12.0661, -38.2090, 41.3433, 18.5000, -72.5838, -70.6106, 79.2952, -0.7247, -0.0747, -0.6669, 0.1563, -0.0057, 0.0737, -0.0359, 1003.5400, 0.0000, 0.0000, 0.0000
2, 0.0999, 10, -0.9431, 0.3964, -0.1331, 23.9566, -7.1638, -9.9027, -39.5522, 41.3433, 17.8333, -72.4517, -70.7094, 79.4215, -0.7246, -0.0725, -0.6670, 0.1573, 0.0008, 0.0814, -0.0335, 1003.5400, 0.0000, 0.0000, 0.0000
2, 0.1099, 11, -0.9371, 0.3945, -0.1449, 23.5577, -6.9568, -7.3321, -40.5970, 40.0000, 18.0000, -72.3217, -70.7802, 79.5421, -0.7245, -0.0706, -0.6671, 0.1584, 0.0072, 0.0808, -0.0449, 1003.5400, 0.0000, 0.0000, 0.0000
2, 0.1199, 12, -0.9450, 0.3944, -0.1352, 23.8729, -6.8203, -5.4309, -40.1493, 40.4478, 18.0000, -72.1973, -70.8299, 79.6684, -0.7244, -0.0688, -0.6671, 0.1596, -0.0005, 0.0818, -0.0348, 1003.5400, 0.0000, 0.0000, 0.0000
2, 0.1299, 13, -0.9708, 0.4002, -0.1337, 24.3546, -7.6092, -4.3127, -40.0000, 41.0448, 18.0000, -72.0997, -70.8667, 79.8337, -0.7242, -0.0670, -0.6672, 0.1610, -0.0261, 0.0883, -0.0330, 1003.5400, 0.0000, 0.0000, 0.0000
